exp_version,subject_num,trial_num,information,stake,decision,reaction_time,outcome,early_late
EXP1,623_SS,1,slots visible: 3,50 cents,1,2.767450992,loss,NA
EXP1,623_SS,2,slots visible: 3,50 cents,1,2.983702271,win,NA
EXP1,623_SS,3,slots visible: 0,50 cents,1,3.865988369,loss,NA
EXP1,623_SS,4,slots visible: 4,50 cents,1,2.07654276,win,NA
EXP1,623_SS,5,slots visible: 1,50 cents,0,1.117258197,win,NA
EXP1,623_SS,6,slots visible: 5,50 cents,1,1.993610171,win,NA
EXP1,623_SS,7,slots visible: 2,50 cents,0,4.137887462,win,NA
EXP1,623_SS,8,slots visible: 5,50 cents,0,1.591988169,loss,NA
EXP1,623_SS,9,slots visible: 5,50 cents,1,0.722408124,win,NA
EXP1,623_SS,10,slots visible: 5,50 cents,0,1.912790713,win,NA
EXP1,623_SS,11,slots visible: 4,50 cents,1,1.587112956,loss,NA
EXP1,623_SS,12,slots visible: 3,50 cents,1,2.157648426,loss,NA
EXP1,623_SS,13,slots visible: 3,50 cents,1,0.824162702,win,NA
EXP1,623_SS,14,slots visible: 1,50 cents,0,1.428866015,loss,NA
EXP1,623_SS,15,slots visible: 4,50 cents,1,2.222758699,loss,NA
EXP1,623_SS,16,slots visible: 4,50 cents,1,0.45100403,win,NA
EXP1,623_SS,17,slots visible: 0,50 cents,1,2.337555977,loss,NA
EXP1,623_SS,18,slots visible: 2,50 cents,1,1.271911409,loss,NA
EXP1,623_SS,19,slots visible: 1,50 cents,1,1.026131438,win,NA
EXP1,623_SS,20,slots visible: 0,50 cents,0,2.012784936,loss,NA
EXP1,623_SS,21,slots visible: 3,50 cents,0,2.514938681,win,NA
EXP1,623_SS,22,slots visible: 2,50 cents,1,1.733806007,loss,NA
EXP1,623_SS,23,slots visible: 3,50 cents,1,0.64399035,win,NA
EXP1,623_SS,24,slots visible: 0,50 cents,1,1.348099634,loss,NA
EXP1,623_SS,25,slots visible: 2,50 cents,1,0.910724209,loss,NA
EXP1,623_SS,26,slots visible: 5,50 cents,1,0.433130984,loss,NA
EXP1,623_SS,27,slots visible: 0,50 cents,1,1.251466889,win,NA
EXP1,623_SS,28,slots visible: 2,50 cents,0,1.153582571,win,NA
EXP1,623_SS,29,slots visible: 0,50 cents,0,1.716416816,loss,NA
EXP1,623_SS,30,slots visible: 5,50 cents,1,2.172485204,loss,NA
EXP1,623_SS,31,slots visible: 4,50 cents,1,1.586769271,loss,NA
EXP1,623_SS,32,slots visible: 4,50 cents,1,0.781420055,loss,NA
EXP1,623_SS,33,slots visible: 4,50 cents,1,1.639698109,win,NA
EXP1,623_SS,34,slots visible: 3,50 cents,1,1.727651654,win,NA
EXP1,623_SS,35,slots visible: 1,50 cents,1,2.094586768,win,NA
EXP1,623_SS,36,slots visible: 2,50 cents,0,2.074696776,loss,NA
EXP1,623_SS,37,slots visible: 5,50 cents,0,2.501110082,win,NA
EXP1,623_SS,38,slots visible: 2,50 cents,0,1.969695379,win,NA
EXP1,623_SS,39,slots visible: 0,50 cents,0,2.1121044,loss,NA
EXP1,623_SS,40,slots visible: 1,50 cents,1,0.91478068,win,NA
EXP1,623_SS,41,slots visible: 2,50 cents,0,2.10073115,win,NA
EXP1,623_SS,42,slots visible: 5,50 cents,1,1.697214486,loss,NA
EXP1,623_SS,43,slots visible: 0,50 cents,0,3.613977509,loss,NA
EXP1,623_SS,44,slots visible: 4,50 cents,1,1.81192379,loss,NA
EXP1,623_SS,45,slots visible: 1,50 cents,1,1.410504128,win,NA
EXP1,623_SS,46,slots visible: 0,50 cents,0,1.009082413,loss,NA
EXP1,623_SS,47,slots visible: 0,50 cents,0,1.423680841,win,NA
EXP1,623_SS,48,slots visible: 0,50 cents,0,2.259598599,loss,NA
EXP1,623_SS,49,slots visible: 0,50 cents,0,3.040016926,win,NA
EXP1,623_SS,50,slots visible: 3,50 cents,1,0.784433744,loss,NA
EXP1,623_SS,51,slots visible: 1,50 cents,1,1.395854441,win,NA
EXP1,623_SS,52,slots visible: 3,50 cents,1,0.899214599,loss,NA
EXP1,623_SS,53,slots visible: 3,50 cents,1,1.03962251,loss,NA
EXP1,623_SS,54,slots visible: 3,50 cents,0,2.047959492,loss,NA
EXP1,623_SS,55,slots visible: 2,50 cents,1,1.416277261,loss,NA
EXP1,623_SS,56,slots visible: 5,50 cents,1,0.78090013,win,NA
EXP1,623_SS,57,slots visible: 3,50 cents,1,1.185087741,loss,NA
