subject_num,trial_num,information,stake,decision,reaction_time,outcome,early_late
02_JH,1,slots visible: 4,40 cents,1,2.269312754,win,NA
02_JH,2,slots visible: 2,30 cents,1,3.215892299,loss,NA
02_JH,3,slots visible: 5,40 cents,1,2.148747682,win,NA
02_JH,4,slots visible: 2,10 cents,1,3.854863631,win,NA
02_JH,5,slots visible: 3,20 cents,1,1.979744976,win,NA
02_JH,6,slots visible: 5,40 cents,1,2.112050994,loss,NA
02_JH,7,slots visible: 0,10 cents,1,2.833680193,loss,NA
02_JH,8,slots visible: 0,50 cents,1,2.533122471,loss,NA
02_JH,9,slots visible: 5,40 cents,1,2.417414124,loss,NA
02_JH,10,slots visible: 5,30 cents,1,2.799684586,loss,NA
02_JH,11,slots visible: 0,40 cents,0,3.568473457,loss,NA
02_JH,12,slots visible: 3,20 cents,1,1.956807934,loss,NA
02_JH,13,slots visible: 2,40 cents,1,2.365092165,win,NA
02_JH,14,slots visible: 1,50 cents,1,2.969238006,loss,NA
02_JH,15,slots visible: 0,10 cents,1,1.951223961,win,NA
02_JH,16,slots visible: 3,40 cents,1,3.506696984,win,NA
02_JH,17,slots visible: 2,30 cents,1,2.671067591,win,NA
02_JH,18,slots visible: 2,20 cents,1,3.600351835,win,NA
02_JH,19,slots visible: 3,30 cents,1,2.318935391,loss,NA
02_JH,20,slots visible: 4,50 cents,1,3.424976035,win,NA
02_JH,21,slots visible: 4,10 cents,1,2.572813484,loss,NA
02_JH,22,slots visible: 1,50 cents,1,3.75318794,win,NA
02_JH,23,slots visible: 4,30 cents,1,2.716133493,win,NA
02_JH,24,slots visible: 5,10 cents,1,1.902110983,win,NA
02_JH,25,slots visible: 1,50 cents,1,3.250584657,win,NA
02_JH,26,slots visible: 2,10 cents,1,2.443120867,win,NA
02_JH,27,slots visible: 0,40 cents,0,4.38744917,win,NA
02_JH,28,slots visible: 0,40 cents,1,3.1021094,win,NA
02_JH,29,slots visible: 0,20 cents,1,2.946597433,win,NA
02_JH,30,slots visible: 5,30 cents,1,2.329735314,win,NA
02_JH,31,slots visible: 2,10 cents,1,2.179375077,win,NA
02_JH,32,slots visible: 4,10 cents,1,2.031777209,loss,NA
02_JH,33,slots visible: 0,50 cents,1,3.871972721,win,NA
02_JH,34,slots visible: 1,40 cents,0,3.412789356,loss,NA
02_JH,35,slots visible: 2,40 cents,1,2.631516749,win,NA
02_JH,36,slots visible: 2,50 cents,1,2.925472352,win,NA
02_JH,37,slots visible: 4,20 cents,1,2.678285232,win,NA
02_JH,38,slots visible: 0,10 cents,0,2.728561513,win,NA
02_JH,39,slots visible: 5,50 cents,1,3.192088717,loss,NA
02_JH,40,slots visible: 4,20 cents,1,1.859160844,win,NA
02_JH,41,slots visible: 2,30 cents,1,2.030690443,win,NA
02_JH,42,slots visible: 3,30 cents,1,2.480579405,win,NA
02_JH,43,slots visible: 3,30 cents,1,2.240843936,win,NA
02_JH,44,slots visible: 2,20 cents,1,2.009239566,loss,NA
02_JH,45,slots visible: 2,20 cents,1,2.575557671,loss,NA
02_JH,46,slots visible: 1,40 cents,0,2.451885668,loss,NA
02_JH,47,slots visible: 3,20 cents,1,2.756337686,loss,NA
02_JH,48,slots visible: 1,40 cents,1,2.602691345,win,NA
02_JH,49,slots visible: 2,20 cents,1,2.357384512,win,NA
02_JH,50,slots visible: 4,40 cents,1,3.003507211,loss,NA
02_JH,51,slots visible: 2,40 cents,1,2.364241755,loss,NA
02_JH,52,slots visible: 1,10 cents,1,1.777561591,win,NA
02_JH,53,slots visible: 5,20 cents,1,2.863815816,loss,NA
02_JH,54,slots visible: 4,40 cents,1,2.373603604,loss,NA
02_JH,55,slots visible: 2,30 cents,1,2.227542926,loss,NA
02_JH,56,slots visible: 3,20 cents,0,2.071704578,win,NA
02_JH,57,slots visible: 4,50 cents,1,2.44076171,win,NA
02_JH,58,slots visible: 5,30 cents,1,2.784867499,win,NA
02_JH,59,slots visible: 1,50 cents,1,2.859603937,loss,NA
02_JH,60,slots visible: 3,10 cents,1,2.366344615,loss,NA
02_JH,61,slots visible: 1,10 cents,1,2.311097537,loss,NA
02_JH,62,slots visible: 5,20 cents,0,2.02446309,win,NA
02_JH,63,slots visible: 0,50 cents,1,3.364926482,win,NA
02_JH,64,slots visible: 2,30 cents,1,2.333319355,loss,NA
02_JH,65,slots visible: 5,10 cents,0,2.497589672,loss,NA
02_JH,66,slots visible: 3,30 cents,1,2.048323269,loss,NA
02_JH,67,slots visible: 4,10 cents,1,2.0436334,win,NA
02_JH,68,slots visible: 1,10 cents,1,1.788402275,win,NA
02_JH,69,slots visible: 5,30 cents,1,2.104774118,win,NA
02_JH,70,slots visible: 1,20 cents,1,1.900114864,loss,NA
02_JH,71,slots visible: 5,20 cents,1,1.88855397,win,NA
02_JH,72,slots visible: 4,50 cents,1,2.270796281,loss,NA
