exp_version,subject_num,trial_num,information,decision,mod2_linear,mod3_entropy,mod4_res_uncertainty
EXP1,623_SS,1,slots visible: 3,1,0.6,0.3915,0.25
EXP1,623_SS,2,slots visible: 3,1,0.6,0.3915,0.25
EXP1,623_SS,3,slots visible: 0,1,0,0,0
EXP1,623_SS,4,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,5,slots visible: 1,0,0.2,0.104,0
EXP1,623_SS,6,slots visible: 5,1,1,1,1
EXP1,623_SS,7,slots visible: 2,0,0.4,0.2282,0
EXP1,623_SS,8,slots visible: 5,0,1,1,1
EXP1,623_SS,9,slots visible: 5,1,1,1,1
EXP1,623_SS,10,slots visible: 5,0,1,1,1
EXP1,623_SS,11,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,12,slots visible: 3,1,0.6,0.3915,0.25
EXP1,623_SS,13,slots visible: 3,1,0.6,0.3915,0.25
EXP1,623_SS,14,slots visible: 1,0,0.2,0.104,0
EXP1,623_SS,15,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,16,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,17,slots visible: 0,1,0,0,0
EXP1,623_SS,18,slots visible: 2,1,0.4,0.2282,0
EXP1,623_SS,19,slots visible: 1,1,0.2,0.104,0
EXP1,623_SS,20,slots visible: 0,0,0,0,0
EXP1,623_SS,21,slots visible: 3,0,0.6,0.3915,0.25
EXP1,623_SS,22,slots visible: 2,1,0.4,0.2282,0
EXP1,623_SS,23,slots visible: 3,1,0.6,0.3915,0.25
EXP1,623_SS,24,slots visible: 0,1,0,0,0
EXP1,623_SS,25,slots visible: 2,1,0.4,0.2282,0
EXP1,623_SS,26,slots visible: 5,1,1,1,1
EXP1,623_SS,27,slots visible: 0,1,0,0,0
EXP1,623_SS,28,slots visible: 2,0,0.4,0.2282,0
EXP1,623_SS,29,slots visible: 0,0,0,0,0
EXP1,623_SS,30,slots visible: 5,1,1,1,1
EXP1,623_SS,31,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,32,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,33,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,34,slots visible: 3,1,0.6,0.3915,0.25
EXP1,623_SS,35,slots visible: 1,1,0.2,0.104,0
EXP1,623_SS,36,slots visible: 2,0,0.4,0.2282,0
EXP1,623_SS,37,slots visible: 5,0,1,1,1
EXP1,623_SS,38,slots visible: 2,0,0.4,0.2282,0
EXP1,623_SS,39,slots visible: 0,0,0,0,0
EXP1,623_SS,40,slots visible: 1,1,0.2,0.104,0
EXP1,623_SS,41,slots visible: 2,0,0.4,0.2282,0
EXP1,623_SS,42,slots visible: 5,1,1,1,1
EXP1,623_SS,43,slots visible: 0,0,0,0,0
EXP1,623_SS,44,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,45,slots visible: 1,1,0.2,0.104,0
EXP1,623_SS,46,slots visible: 0,0,0,0,0
EXP1,623_SS,47,slots visible: 0,0,0,0,0
EXP1,623_SS,48,slots visible: 0,0,0,0,0
EXP1,623_SS,49,slots visible: 0,0,0,0,0
EXP1,623_SS,50,slots visible: 3,1,0.6,0.3915,0.25
EXP1,623_SS,51,slots visible: 1,1,0.2,0.104,0
EXP1,623_SS,52,slots visible: 3,1,0.6,0.3915,0.25
EXP1,623_SS,53,slots visible: 3,1,0.6,0.3915,0.25
EXP1,623_SS,54,slots visible: 3,0,0.6,0.3915,0.25
EXP1,623_SS,55,slots visible: 2,1,0.4,0.2282,0
EXP1,623_SS,56,slots visible: 5,1,1,1,1
EXP1,623_SS,57,slots visible: 3,1,0.6,0.3915,0.25
EXP1,623_SS,58,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,59,slots visible: 2,0,0.4,0.2282,0
EXP1,623_SS,60,slots visible: 2,1,0.4,0.2282,0
EXP1,623_SS,61,slots visible: 3,0,0.6,0.3915,0.25
EXP1,623_SS,62,slots visible: 2,1,0.4,0.2282,0
EXP1,623_SS,63,slots visible: 2,1,0.4,0.2282,0
EXP1,623_SS,64,slots visible: 5,1,1,1,1
EXP1,623_SS,65,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,66,slots visible: 1,0,0.2,0.104,0
EXP1,623_SS,67,slots visible: 3,1,0.6,0.3915,0.25
EXP1,623_SS,68,slots visible: 5,1,1,1,1
EXP1,623_SS,69,slots visible: 5,1,1,1,1
EXP1,623_SS,70,slots visible: 1,1,0.2,0.104,0
EXP1,623_SS,71,slots visible: 1,0,0.2,0.104,0
EXP1,623_SS,72,slots visible: 3,1,0.6,0.3915,0.25
EXP1,623_SS,73,slots visible: 0,1,0,0,0
EXP1,623_SS,74,slots visible: 5,1,1,1,1
EXP1,623_SS,75,slots visible: 2,1,0.4,0.2282,0
EXP1,623_SS,76,slots visible: 2,0,0.4,0.2282,0
EXP1,623_SS,77,slots visible: 5,1,1,1,1
EXP1,623_SS,78,slots visible: 5,0,1,1,1
EXP1,623_SS,79,slots visible: 1,0,0.2,0.104,0
EXP1,623_SS,80,slots visible: 5,1,1,1,1
EXP1,623_SS,81,slots visible: 3,0,0.6,0.3915,0.25
EXP1,623_SS,82,slots visible: 0,1,0,0,0
EXP1,623_SS,83,slots visible: 3,0,0.6,0.3915,0.25
